path,sentence_transcript
common_voice_it_17618333.mp3," Ma certo, si affrettò da consentire dei vincenzi."
common_voice_it_17514758.mp3, L'avvocato si alzò.
common_voice_it_17544185.mp3, il vuoto assoluto
common_voice_it_17510630.mp3, fa caldissimo e il momento perfetto per un gelato alla frutta o un ghiacciolo
common_voice_it_17642442.mp3," A suo tempo quello era un paese a crescita zero, come il nostro attualmente."
common_voice_it_17518964.mp3, Desidero che nessuno esca dal palazzo questa notte.
common_voice_it_17618328.mp3, non guardare qui e là
common_voice_it_17442672.mp3," Ripresa a salire per la rampa di destra, lo scalone, dopo il primo piano, si divideva in due rampe e raggiunse il secondo piano."
common_voice_it_17442671.mp3, E allora entrò nella torre e portò con sé un candelabro di pietra lunare.
common_voice_it_17442674.mp3," Non avendo il Regno dei Monti una flotta militare, risultava quasi inutile, se non sfavorevole, un porto militare, per di più così vicino al nemico."
