path,sentence,sentence_transcript,sentence_tokenized,sentence_transcript_tokenized,wer,cer,average WER,average CER
common_voice_it_23606167.mp3,Il libro ha suscitato molte polemiche a causa dei suoi contenuti., Il libro ha suscitato molte polemiche a causa dei suoi contenuti.,"['il', 'libro', 'ha', 'suscitato', 'molte', 'polemiche', 'a', 'causa', 'dei', 'suoi', 'contenuti', '.']","['il', 'libro', 'ha', 'suscitato', 'molte', 'polemiche', 'a', 'causa', 'dei', 'suoi', 'contenuti', '.']",0.0,,0.17049456401333501,0.06806833770338121
common_voice_it_20045040.mp3,Fin dall'inizio la sede episcopale è stata immediatamente soggetta alla Santa Sede., Fin dall'inizio la sede episcopale è stata immediatamente soggetta alla Santa Sede.,"['fin', ""dall'inizio"", 'la', 'sede', 'episcopale', 'è', 'stata', 'immediatamente', 'soggetta', 'alla', 'santa', 'sede', '.']","['fin', ""dall'inizio"", 'la', 'sede', 'episcopale', 'è', 'stata', 'immediatamente', 'soggetta', 'alla', 'santa', 'sede', '.']",0.0,,,
common_voice_it_26970935.mp3,"Fu il fondatore di molti chiostri, ospedali e chiese."," Fu il fondatore di molti chiostri, ospedali e chiese.","['fu', 'il', 'fondatore', 'di', 'molti', 'chiostri', ',', 'ospedali', 'e', 'chiese', '.']","['fu', 'il', 'fondatore', 'di', 'molti', 'chiostri', ',', 'ospedali', 'e', 'chiese', '.']",0.0,,,
common_voice_it_17544185.mp3,Il vuoto assoluto?, il vuoto assoluto,"['il', 'vuoto', 'assoluto', '?']","['il', 'vuoto', 'assoluto']",0.25,0.0625,,
common_voice_it_20042813.mp3,"Dopo alcuni anni, egli decise di tornare in India per raccogliere altri insegnamenti.", Dopo alcuni anni egli decise di tornare in India per raccogliere altri insegnamenti.,"['dopo', 'alcuni', 'anni', ',', 'egli', 'decise', 'di', 'tornare', 'in', 'india', 'per', 'raccogliere', 'altri', 'insegnamenti', '.']","['dopo', 'alcuni', 'anni', 'egli', 'decise', 'di', 'tornare', 'in', 'india', 'per', 'raccogliere', 'altri', 'insegnamenti', '.']",0.06666666666666667,0.0136986301369863,,
common_voice_it_21916542.mp3,Salvation Sue, Salvation Zoo,"['salvation', 'sue']","['salvation', 'zoo']",0.5,0.25,,
common_voice_it_20268831.mp3,"In questo modo, Decio ottenne il potere imperiale.", In questo modo Decio ottenne il potere imperiale.,"['in', 'questo', 'modo', ',', 'decio', 'ottenne', 'il', 'potere', 'imperiale', '.']","['in', 'questo', 'modo', 'decio', 'ottenne', 'il', 'potere', 'imperiale', '.']",0.1,0.023255813953488372,,
common_voice_it_20069601.mp3,Sparta Novara acquisisce il titolo sportivo per giocare in Prima Categoria., Parca Novara acquisisce il titolo sportivo per giocare in prima categoria.,"['sparta', 'novara', 'acquisisce', 'il', 'titolo', 'sportivo', 'per', 'giocare', 'in', 'prima', 'categoria', '.']","['parca', 'novara', 'acquisisce', 'il', 'titolo', 'sportivo', 'per', 'giocare', 'in', 'prima', 'categoria', '.']",0.08333333333333333,0.03076923076923077,,
common_voice_it_20001185.mp3,"In seguito, Kygo e Shear hanno proposto di continuare a lavorare sulla canzone."," In seguito, Kigo e Shear hanno proposto di continuare a lavorare sulla canzone.","['in', 'seguito', ',', 'kygo', 'e', 'shear', 'hanno', 'proposto', 'di', 'continuare', 'a', 'lavorare', 'sulla', 'canzone', '.']","['in', 'seguito', ',', 'kigo', 'e', 'shear', 'hanno', 'proposto', 'di', 'continuare', 'a', 'lavorare', 'sulla', 'canzone', '.']",0.06666666666666667,0.014925373134328358,,
common_voice_it_19997999.mp3,Alan Clarke, Alan Clark,"['alan', 'clarke']","['alan', 'clark']",0.5,0.1,,
