path,sentence_transcript
common_voice_it_17415870.mp3," Sebbene molte biblioteche tedesche avessero familiarizzato con il tema del libero accesso già da tempo,"
common_voice_it_17415965.mp3," Tildor ascoltò con pazienza le lamentele, poi infilò nelle mani dell'oste cinque monete d'oro e quello si azzitti subito."
common_voice_it_17415801.mp3, Grazie.
common_voice_it_17415824.mp3, Il presente servizio è volto a consentire agli esercenti commerciali di incassare i buoni connessi all'utilizzo del bonus del valore di 500 euro.
common_voice_it_17415772.mp3, La teoria della tettonica delle placche fu accettata solo 30 anni fa.
common_voice_it_17415809.mp3, La vecchia impara fino a 100 anni.
common_voice_it_17415821.mp3," Trovandosi ancora al sicuro tra le montagne, questo non scarseggiava e non c'era bisogno di razionare i cibi."
common_voice_it_17415808.mp3, la si può differenziare in
common_voice_it_17415869.mp3," Conoscere altre persone che hanno passioni simili alle mie, che portano avanti degli obiettivi attraverso delle community."
common_voice_it_17415855.mp3," Finalmente, alle sei del mattino di quel memorabile 19 marzo, si aprì la porta della sala e apparve il capitano Nemo."
